team1,team2,winner,venue,city,date,toss_winner
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-05-01,Chennai Super Kings
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai,2011-05-02,Kings XI Punjab
Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Feroz Shah Kotla,Delhi,2011-05-02,Kochi Tuskers Kerala
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-05-03,Deccan Chargers
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-05-04,Rajasthan Royals
Pune Warriors,Mumbai Indians,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,2011-05-04,Pune Warriors
Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,Nehru Stadium,Kochi,2011-05-05,Kolkata Knight Riders
Deccan Chargers,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-05-05,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2011-05-06,Kings XI Punjab
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,2011-05-07,Chennai Super Kings
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Mumbai,2011-05-07,Delhi Daredevils
Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2011-05-08,Kochi Tuskers Kerala
Kings XI Punjab,Pune Warriors,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2011-05-08,Kings XI Punjab
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,2011-05-09,Rajasthan Royals
Deccan Chargers,Pune Warriors,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-05-10,Deccan Chargers
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2011-05-10,Mumbai Indians
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,2011-05-11,Royal Challengers Bangalore
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-05-12,Chennai Super Kings
Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,Holkar Cricket Stadium,Indore,2011-05-13,Kings XI Punjab
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2011-05-14,Royal Challengers Bangalore
Mumbai Indians,Deccan Chargers,Deccan Chargers,Wankhede Stadium,Mumbai,2011-05-14,Deccan Chargers
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,2011-05-15,Delhi Daredevils
